wave,posterior,var,xwaveid
-1,0.008,lssupnh,0100353
0,0.011,lssupnh,0100353
1,0.0254,lssupnh,0100353
2,0.0197,lssupnh,0100353
3,0.0176,lssupnh,0100353
4,0.0164,lssupnh,0100353
5,0.0215,lssupnh,0100353
6,0.0244,lssupnh,0100353
7,0,lssupnh,0100353
8,0,lssupnh,0100353
-6,0,lssupvl,0100353
-5,0,lssupvl,0100353
-4,0,lssupvl,0100353
-3,0.1116,lssupvl,0100353
-2,0.3691,lssupvl,0100353
-1,0.0961,lssupvl,0100353
0,0.0341,lssupvl,0100353
1,0.0427,lssupvl,0100353
2,0.0625,lssupvl,0100353
3,0.0297,lssupvl,0100353
4,0.0297,lssupvl,0100353
5,0.0266,lssupvl,0100353
6,0.0225,lssupvl,0100353
7,0,lssupvl,0100353
8,0,lssupvl,0100353
-6,0,ghmh,0100408
-5,0,ghmh,0100408
-4,0,ghmh,0100408
-3,0.0553,ghmh,0100408
-2,0.0387,ghmh,0100408
-1,0.0543,ghmh,0100408
0,0.0465,ghmh,0100408
1,0.0786,ghmh,0100408
2,0.0659,ghmh,0100408
3,0.0485,ghmh,0100408
4,0.0604,ghmh,0100408
5,0.0931,ghmh,0100408
6,0.0749,ghmh,0100408
7,0,ghmh,0100408
8,0,ghmh,0100408
-6,0,losat,0100408
-5,0,losat,0100408
-4,0,losat,0100408
-3,0.15,losat,0100408
-2,0.1522,losat,0100408
-1,0.1928,losat,0100408
0,0.5556,losat,0100408
1,0.0939,losat,0100408
2,0.133,losat,0100408
3,0.1204,losat,0100408
4,0.1404,losat,0100408
5,0.127,losat,0100408
6,0.4198,losat,0100408
7,0,losat,0100408
8,0,losat,0100408
-6,0,losateo,0100408
-5,0,losateo,0100408
-4,0,losateo,0100408
-3,0.1398,losateo,0100408
-2,0.0964,losateo,0100408
-1,0.1466,losateo,0100408
0,0.1486,losateo,0100408
1,0.1608,losateo,0100408
2,0.3576,losateo,0100408
3,0.0821,losateo,0100408
4,0.0868,losateo,0100408
5,0.1087,losateo,0100408
6,0.1158,losateo,0100408
7,0,losateo,0100408
8,0,losateo,0100408
-6,0,losatfs,0100408
-5,0,losatfs,0100408
-4,0,losatfs,0100408
-3,0.1419,losatfs,0100408
-2,0.0683,losatfs,0100408
-1,0.0913,losatfs,0100408
0,0.0837,losatfs,0100408
1,0.1604,losatfs,0100408
2,0.0542,losatfs,0100408
3,0.0752,losatfs,0100408
4,0.0909,losatfs,0100408
5,0.0719,losatfs,0100408
6,0.0969,losatfs,0100408
7,0,losatfs,0100408
8,0,losatfs,0100408
-6,0,losatft,0100408
-5,0,losatft,0100408
-4,0,losatft,0100408
-3,0.2488,losatft,0100408
-2,0.1603,losatft,0100408
-1,0.1249,losatft,0100408
0,0.1466,losatft,0100408
1,0.0902,losatft,0100408
2,0.2086,losatft,0100408
3,0.07,losatft,0100408
4,0.3006,losatft,0100408
5,0.0725,losatft,0100408
6,0.2278,losatft,0100408
7,0,losatft,0100408
8,0,losatft,0100408
-6,0,losathl,0100408
-5,0,losathl,0100408
-4,0,losathl,0100408
-3,0.0233,losathl,0100408
-2,0.0446,losathl,0100408
-1,0.0176,losathl,0100408
0,0.039,losathl,0100408
1,0.0281,losathl,0100408
2,0.0172,losathl,0100408
3,0.0388,losathl,0100408
4,0.0191,losathl,0100408
5,0.0279,losathl,0100408
6,0.0256,losathl,0100408
7,0,losathl,0100408
8,0,losathl,0100408
-6,0,losatlc,0100408
-5,0,losatlc,0100408
-4,0,losatlc,0100408
-3,0.097,losatlc,0100408
-2,0.0285,losatlc,0100408
-1,0.0323,losatlc,0100408
0,0.0247,losatlc,0100408
1,0.0285,losatlc,0100408
2,0.0231,losatlc,0100408
3,0.0724,losatlc,0100408
4,0.0223,losatlc,0100408
5,0.0329,losatlc,0100408
6,0.0537,losatlc,0100408
7,0,losatlc,0100408
8,0,losatlc,0100408
-6,0,losatnl,0100408
-5,0,losatnl,0100408
-4,0,losatnl,0100408
-3,0.0471,losatnl,0100408
-2,0.0393,losatnl,0100408
-1,0.0347,losatnl,0100408
0,0.0548,losatnl,0100408
1,0.0287,losatnl,0100408
2,0.0379,losatnl,0100408
3,0.0402,losatnl,0100408
4,0.0302,losatnl,0100408
5,0.028,losatnl,0100408
6,0.0446,losatnl,0100408
7,0,losatnl,0100408
8,0,losatnl,0100408
-6,0,losatsf,0100408
-5,0,losatsf,0100408
-4,0,losatsf,0100408
-3,0.0107,losatsf,0100408
-2,0.0116,losatsf,0100408
-1,0.0183,losatsf,0100408
0,0.0081,losatsf,0100408
1,0.0097,losatsf,0100408
2,0.009,losatsf,0100408
3,0.0078,losatsf,0100408
4,0.0102,losatsf,0100408
5,0.0148,losatsf,0100408
6,0.0132,losatsf,0100408
7,0,losatsf,0100408
8,0,losatsf,0100408
-6,0,losatyh,0100408
-5,0,losatyh,0100408
-4,0,losatyh,0100408
-3,0.1071,losatyh,0100408
-2,0.0887,losatyh,0100408
-1,0.1106,losatyh,0100408
0,0.128,losatyh,0100408
1,0.1514,losatyh,0100408
2,0.2492,losatyh,0100408
3,0.0864,losatyh,0100408
4,0.124,losatyh,0100408
5,0.092,losatyh,0100408
6,0.1059,losatyh,0100408
7,0,losatyh,0100408
8,0,losatyh,0100408
-6,0,lssupac,0100408
-5,0,lssupac,0100408
-4,0,lssupac,0100408
-3,0.052,lssupac,0100408
-2,0.0356,lssupac,0100408
-1,0.0481,lssupac,0100408
0,0.0495,lssupac,0100408
1,0.0275,lssupac,0100408
2,0.3802,lssupac,0100408
3,0.1781,lssupac,0100408
4,0.1287,lssupac,0100408
5,0.1135,lssupac,0100408
6,0.1244,lssupac,0100408
7,0,lssupac,0100408
8,0,lssupac,0100408
-6,0,lssuplt,0100408
-5,0,lssuplt,0100408
-4,0,lssuplt,0100408
-3,0.0684,lssuplt,0100408
-2,0.0458,lssuplt,0100408
-1,0.1615,lssuplt,0100408
0,0.0923,lssuplt,0100408
1,0.5177,lssuplt,0100408
2,0.1245,lssuplt,0100408
3,0.1796,lssuplt,0100408
4,0.1046,lssuplt,0100408
5,0.1198,lssuplt,0100408
6,0.1163,lssuplt,0100408
7,0,lssuplt,0100408
8,0,lssuplt,0100408
-6,0,lssupnh,0100408
-5,0,lssupnh,0100408
-4,0,lssupnh,0100408
-3,0.0478,lssupnh,0100408
-2,0.0223,lssupnh,0100408
-1,0.0316,lssupnh,0100408
0,0.0342,lssupnh,0100408
1,0.0241,lssupnh,0100408
2,0.0237,lssupnh,0100408
3,0.0255,lssupnh,0100408
4,0.0242,lssupnh,0100408
5,0.0291,lssupnh,0100408
6,0.0292,lssupnh,0100408
7,0,lssupnh,0100408
8,0,lssupnh,0100408
-6,0,lssupvl,0100408
-5,0,lssupvl,0100408
-4,0,lssupvl,0100408
-3,0.1824,lssupvl,0100408
-2,0.0381,lssupvl,0100408
-1,0.0744,lssupvl,0100408
0,0.083,lssupvl,0100408
1,0.0504,lssupvl,0100408
2,0.0396,lssupvl,0100408
3,0.0686,lssupvl,0100408
4,0.0276,lssupvl,0100408
5,0.0611,lssupvl,0100408
6,0.0861,lssupvl,0100408
7,0,lssupvl,0100408
8,0,lssupvl,0100408
-6,0,ghmh,0100483
-5,0,ghmh,0100483
-4,0,ghmh,0100483
-3,0.0988,ghmh,0100483
-2,0.0278,ghmh,0100483
-1,0.0206,ghmh,0100483
0,0.0099,ghmh,0100483
1,0.0084,ghmh,0100483
2,0.0068,ghmh,0100483
3,0.01,ghmh,0100483
4,0.0089,ghmh,0100483
5,0.0049,ghmh,0100483
6,0.0096,ghmh,0100483
7,0,ghmh,0100483
8,0,ghmh,0100483
-6,0,losat,0100483
-5,0,losat,0100483
-4,0,losat,0100483
-3,0.1745,losat,0100483
-2,0.1902,losat,0100483
-1,0.1308,losat,0100483
0,0.1254,losat,0100483
1,0.1267,losat,0100483
2,0.0962,losat,0100483
3,0.2375,losat,0100483
4,0.163,losat,0100483
5,0.1095,losat,0100483
6,0.1189,losat,0100483
7,0,losat,0100483
8,0,losat,0100483
-6,0,losateo,0100483
-5,0,losateo,0100483
-4,0,losateo,0100483
-3,0.045,losateo,0100483
-2,0.0364,losateo,0100483
-1,0.0392,losateo,0100483
0,0.0395,losateo,0100483
1,0.0271,losateo,0100483
2,0.0475,losateo,0100483
3,0.031,losateo,0100483
4,0.0458,losateo,0100483
5,0.0809,losateo,0100483
6,0.0792,losateo,0100483
7,0,losateo,0100483
8,0,losateo,0100483
-6,0,losatfs,0100483
-5,0,losatfs,0100483
-4,0,losatfs,0100483
-3,0.0988,losatfs,0100483
-2,0.2669,losatfs,0100483
-1,0.0211,losatfs,0100483
0,0.056,losatfs,0100483
1,0.0409,losatfs,0100483
